year,month,day,lat(degree),lon(degree),hypernav_time(h),sza(degree),insitu_Rrs380(1/sr),insitu_Rrs412(1/sr),insitu_Rrs443(1/sr),insitu_Rrs490(1/sr),insitu_Rrs530(1/sr),insitu_Rrs565(1/sr),insitu_Rrs670(1/sr),insitu_Rrs380_uncertainty(1/sr),insitu_Rrs412_uncertainty(1/sr),insitu_Rrs443_uncertainty(1/sr),insitu_Rrs490_uncertainty(1/sr),insitu_Rrs530_uncertainty(1/sr),insitu_Rrs565_uncertainty(1/sr),insitu_Rrs670_uncertainty(1/sr),sgli_time(h),sgli_sza(degree),sgli_vza(degree),sgli_Rrs380_mean(1/sr),sgli_Rrs412_mean(1/sr),sgli_Rrs443_mean(1/sr),sgli_Rrs490_mean(1/sr),sgli_Rrs530_mean(1/sr),sgli_Rrs565_mean(1/sr),sgli_Rrs670_mean(1/sr),sgli_Rrs380_std(1/sr),sgli_Rrs412_std(1/sr),sgli_Rrs443_std(1/sr),sgli_Rrs490_std(1/sr),sgli_Rrs530_std(1/sr),sgli_Rrs565_std(1/sr),sgli_Rrs670_std(1/sr),taua670,taua865
2025.0,6.0,30.0,19.7822,-156.2133,22.891388888888887,6.658538818359375,0.01679936982691288,0.015020287595689297,0.010371017269790173,0.006322343833744526,0.0022271638736128807,0.0011964634759351611,0.00013243334251455963,0.0005083722644485533,0.0004489826096687466,0.00030423898715525866,0.00017179035057779402,6.359968392644078e-05,3.645940887508914e-05,6.8464446485450026e-06,21.316666666666666,16.14711111111111,40.070000000000014,0.013839500645796457,0.012124839549263319,0.008355493553810649,0.005459301277167267,0.0005768026846150557,0.0005001018548177348,6.821705028414726e-05,0.00046863513903695693,0.0003013307106815141,0.00021989086863725995,0.00013090822741580873,0.0001698879064430033,0.0001229630777335058,0.0,0.36066666666666664,0.3514666622222222
2025.0,7.0,5.0,20.2251,-156.2007,22.96361111111111,7.025627136230469,0.01717645488679409,0.01592724584043026,0.011388564482331276,0.006796537432819605,0.0023021739907562733,0.0012303224066272378,0.00012595186126418412,0.0005138028063811362,0.00047147998702712357,0.00033032483770512044,0.00018189815455116332,6.333320925477892e-05,3.52990064129699e-05,4.870551947533386e-06,20.783333333333335,23.637,20.514,0.01856987675031026,0.016047450610333018,0.012663107365369797,0.007686154709921943,0.0026311415971981156,0.0010944121620721286,7.404014468193054e-05,0.00024053731141573224,0.00021930667896009106,0.00015574422840428575,0.00011251204156410941,6.913249455658244e-05,5.104614281750255e-05,0.0,0.17423333,0.16774444
2024.0,3.0,16.0,19.6189,-156.8015,23.728055555555553,26.73025131225586,0.012371444143354893,0.011176889762282372,0.00830171350389719,0.005736181512475014,0.0022715097293257713,0.0012274208711460233,0.00012236685142852366,0.0002645722997840494,0.0002373423776589334,0.0001723642781144008,0.00010932931763818488,4.376647848403081e-05,2.449280691507738e-05,3.7807708395121153e-06,20.8,33.235,24.235,0.014795190137293603,0.011956516653299332,0.009783804416656494,0.006466687346498172,0.002700324687692854,0.0013948133111827904,7.496468929780854e-05,6.064682862638983e-05,9.753564420556654e-05,6.949015994169506e-05,4.3107591144236425e-05,5.767263291339128e-05,1.7250776371729955e-05,2.6136899805714146e-07,0.04631111,0.03428888866666666
2024.0,3.0,19.0,19.6303,-156.7639,23.842499999999998,27.10192108154297,0.011396841146051884,0.010356800630688667,0.007962624542415142,0.005522590130567551,0.0022096948232501745,0.0011954528745263815,0.0001222793507622555,0.0005889348103664815,0.0005471487529575825,0.00042468123137950897,0.00028724552248604596,0.00011713029380189255,6.683504034299403e-05,1.4808976629865356e-05,21.15,28.462000000000003,17.254,0.007066760005222427,0.007532020254681508,0.006410204753693607,0.005830228639145692,0.0013673832743532127,0.0010597892105579376,6.988085806369781e-05,0.00019178961657170847,0.00010827170431027806,8.686819550398732e-05,9.943426064277049e-05,1.790360743132768e-05,4.662786688058373e-05,0.0,0.13778888555555557,0.17301111
2024.0,3.0,30.0,20.2561,-157.4498,23.01361111111111,17.295326232910156,0.014866172336041927,0.013777117244899273,0.010069976560771465,0.006453083362430334,0.002321648644283414,0.0012305688578635454,0.00012165411317255348,6.2924495978222694e-06,5.880099251953652e-06,4.3181680666748434e-06,2.784016032819636e-06,1.0038426125902333e-06,5.339610993360111e-07,5.3296005830816284e-08,21.283333333333335,24.230000000000004,27.3,0.007972470795114836,0.00958799198269844,0.007785471414940225,0.0068897751884328,0.0012743383542531067,0.0011063911434676913,6.988085806369781e-05,0.0002081469704014,0.00017785588035820464,0.00014743281264101909,7.323296309504351e-05,6.048604219209057e-06,2.570511745353714e-05,0.0,0.19093333222222222,0.22815555
2024.0,3.0,23.0,19.8817,-156.7838,22.998611111111114,19.479354858398438,0.014957531355321407,0.01384377758949995,0.01019465085119009,0.006493933033198118,0.002350475173443556,0.0012479041470214725,0.0001200561091536656,0.00045870477333664894,0.0004208926111459732,0.00030379084637388587,0.00017896790814120322,6.655444303760305e-05,3.6931654904037714e-05,5.366287950892001e-06,21.05,28.42088888888889,4.916,0.009828276311357817,0.009028106100029416,0.007558589594231712,0.005371173015899128,0.0014044511028461987,0.000477303233411577,6.988085806369781e-05,0.0009366979197025906,0.0008228017227636679,0.0007447241350945897,0.000542245027235542,0.00048378732075255116,0.0004108179819817329,0.0,0.06513333211111111,0.07575555433333332
2024.0,3.0,12.0,19.8072,-156.7655,22.035833333333336,24.169113159179688,0.011356002651154995,0.010332918725907803,0.007825213484466076,0.005565352737903595,0.0022502318024635315,0.0012166035594418645,0.00011775815801229328,0.00024363015836570412,0.00021954278054181486,0.00016238252283073962,0.00010581419337540865,4.340607119956985e-05,2.4546794520574622e-05,4.202246600470971e-06,20.9,33.49199999999999,13.142,0.01994917272693581,0.01426801478697194,0.011105661590894064,0.0074305108024014365,0.0035435056520832908,0.0016696334092153443,7.404014468193054e-05,0.0002881038123206376,0.00022926700676774987,0.00017888554774425492,8.951159111374568e-05,3.829822382557308e-05,3.689288528947852e-05,0.0,0.13073333222222222,0.10986666444444444
2024.0,11.0,13.0,19.7258,-156.2099,22.586388888888887,38.5229377746582,0.012777094729244709,0.011899834498763084,0.008810636587440968,0.00589771568775177,0.0022110524587333202,0.0011926149018108845,0.00012179825716884807,0.0002693551650736481,0.00024804205168038607,0.00017872203898150474,0.0001091935409931466,4.107452696189284e-05,2.2918558897799812e-05,3.545453409969923e-06,20.616666666666667,43.997,30.381999999999998,0.019012685865163803,0.015104518375462957,0.011752652418282297,0.007419404987659719,0.003035510993666119,0.0015946685129569636,7.681331286827724e-05,0.0002474923590428736,0.000119738161411517,9.172006601412575e-05,4.125620936734507e-05,6.220212878190204e-05,3.76255231219023e-05,3.9205349708571216e-07,0.08071111000000002,0.06724444166666667
2024.0,10.0,24.0,19.8894,-156.7288,22.72472222222222,33.03741455078125,0.013765770010650158,0.012675520032644272,0.009218054823577404,0.006150280591100454,0.002321544336155057,0.0012547076912596822,0.00012549127859529108,0.000317561614792794,0.00029105524299666286,0.00020888431754428893,0.0001312857202719897,5.290054832585156e-05,2.9993452699272893e-05,3.659785988929798e-06,21.116666666666667,35.541000000000004,22.211,0.008560890538824929,0.008170105516910553,0.0057577998377382755,0.004117529114915265,0.0004044447301162614,5.6803588651948506e-05,6.904872134327888e-05,0.00015520026881814166,0.00011266204293311487,7.695553847317074e-05,5.5174084809814774e-05,5.50890018318493e-05,2.909521191674103e-05,0.0,0.127399998,0.12612221999999998
2024.0,11.0,8.0,19.6367,-156.9004,23.045833333333334,38.663787841796875,0.012894821353256702,0.012376259081065655,0.009393475949764252,0.006398878525942564,0.0024520009756088257,0.0013463640352711082,0.0001475078024668619,0.00035845240927301347,0.00033956687548197806,0.0002553233352955431,0.00016572089225519449,6.774151552235708e-05,3.858782656607218e-05,1.1935019756492693e-05,21.15,39.417,26.980000000000004,0.008845245258675681,0.008485984471109178,0.006396596164753039,0.004452775232493877,0.0008583380840718746,0.0003413613885641098,6.886406077278985e-05,0.0003756618828320642,0.0003044658152098318,0.0001925065975059718,0.0001462196842100998,0.00012300848174699554,8.204942214819593e-05,1.2262334738612574e-06,0.16483333,0.1588333288888889
