Date(GMT),"Time (GMT,h)",Hypernav_site,lat,lon,insitu_Rrs380,insitu_Rrs412,insitu_Rrs443,insitu_Rrs490,insitu_Rrs530,insitu_Rrs565,insitu_Rrs670,sgli_Rrs380_mean,sgli_Rrs412_mean,sgli_Rrs443_mean,sgli_Rrs490_mean,sgli_Rrs530_mean,sgli_Rrs565_mean,sgli_Rrs670_mean,sgli_Rrs380_std,sgli_Rrs412_std,sgli_Rrs443_std,sgli_Rrs490_std,sgli_Rrs530_std,sgli_Rrs565_std,sgli_Rrs670_std
3/30/23,10.8,CR,35.82149887,25.79019928,0.007905369,0.008212123,0.00757978,0.006412646,0.003424865,0.002235852,0.000220044,0.002068867,0.003197494,0.003087311,0.003617459,0.001139787,0.000755898,0.000136134,0.000123941,9.57E-05,9.85E-05,3.71E-05,4.30E-05,2.17E-05,2.69E-06
4/29/23,10.625,CR,35.75289917,25.23559952,0.009515283,0.010794339,0.009902465,0.007650591,0.003508972,0.002129871,0.000193863,0.002741993,0.005641989,0.005753144,0.005952817,0.001541983,0.000886022,6.99E-05,7.27E-05,5.12E-05,4.58E-05,3.82E-05,2.95E-05,2.39E-05,0
3/27/23,10.83888889,CR,35.89849854,25.5814991,0.0086175,0.008646972,0.007543336,0.006364539,0.003426866,0.002177605,0.00019436,0.008114592,0.006863083,0.006138011,0.005291906,0.002753651,0.001466501,0.000119562,7.47E-05,4.67E-05,8.01E-05,5.14E-05,4.05E-05,2.13E-05,2.73E-06
4/23/23,10.61666667,CR,35.9117012,24.9041996,0.008597786,0.008825836,0.007934563,0.006283562,0.002836941,0.00164088,0.000162205,0.014339827,0.012550951,0.011426796,0.008054279,0.003777795,0.00228205,7.40E-05,9.20E-05,0.000115621,9.42E-05,5.94E-05,3.82E-05,2.79E-05,1.63E-07
4/3/24,10.75833333,CR,36.07849884,25.02829933,0.007686126,0.008315877,0.00775463,0.006315201,0.002739151,0.001551533,0.000152193,0.001554603,0.003856869,0.004694628,0.005263146,0.001085599,0.000930454,7.63E-05,0.001023054,0.000962769,0.000920914,0.000801638,0.000548405,0.000493253,4.67E-06
4/7/24,10.74166667,CR,36.05479813,24.78930092,0.005102463,0.005413401,0.004906441,0.003790087,0.001607237,0.000905376,8.38E-05,0.005436602,0.005765343,0.005781959,0.005152956,0.001266937,0.000591748,6.90E-05,8.57E-05,7.90E-05,7.98E-05,8.28E-05,3.34E-05,1.61E-05,0
4/8/24,10.79166667,CR,36.04740143,24.71929932,0.006437342,0.007010075,0.006741179,0.005605326,0.002534664,0.001468654,0.00014276,0.008040747,0.007456079,0.008275718,0.006407224,0.002762404,0.001486561,8.33E-05,0.000299571,0.000261628,0.000242089,0.000161701,9.52E-05,5.23E-05,4.89E-06
3/23/24,10.73333333,CR,35.82419968,25.63279915,0.007260306,0.007965756,0.007642574,0.006684579,0.003443261,0.002121247,0.000206567,0.005683227,0.005008109,0.004975824,0.00474913,0.001840882,0.001133332,0.000111942,0.000199749,0.000132631,9.68E-05,5.34E-05,4.78E-05,2.40E-05,2.70E-06
3/30/24,10.79444444,CR,36.0923996,25.29299927,0.008430095,0.008943623,0.008295807,0.006829512,0.003406644,0.002123885,0.000170493,0.001969887,0.002786725,0.003855359,0.003664481,0.001459702,0.000756371,0.000121526,9.40E-05,0.000102303,0.000146342,0.000123109,4.36E-05,2.11E-05,6.24E-06
3/27/24,11.08611111,CR,35.99309921,25.49909973,0.00869596,0.009646017,0.009205328,0.007864993,0.003906229,0.002384906,0.000212843,-0.000163578,0.002845072,0.005571114,0.00598996,0.003856916,0.002881643,0.000223285,6.54E-05,0.000175261,0.000243919,0.000237034,0.000174369,0.000178748,1.70E-05
